Sample,E tech. Rep. 1,E tech. Rep. 2,E tech. Rep. 3,GAPDH tech. Rep. 1,GAPDH tech. Rep. 2,GAPDH tech. Rep. 3
siRNA 7-2,8080147.1468139,7055054.67315254,5770178.60127704,3326.71058853071,1705.8340883597,1482.37933118519
siRNA 7-3,8494315.20673623,6615732.11829697,3746183.16345244,2213.0943510658,1141.8349380905,1003.75412482928
siRNA 7-4,11674886.743194,8656942.35790258,7202854.58811266,2631.94821613146,1232.63839493569,1117.93444012916
siRNA 7-5,8125294.8594942,5717982.38884257,4944259.19670008,2582.60112316831,1333.07519647689,1137.02416695686
siRNA 7-6,7758375.05246442,6642591.398147,5169327.23030627,2653.90294332332,1600.66220649663,1282.39689959439
siRNA 8-1,2799790.24049542,2233838.84455523,1955907.54951472,1662.65140254305,1163.60107739182,1245.5075290269
siRNA 8-2,3243950.38807655,3181326.48063097,2702351.7128051,1939.52666741178,1260.37454037435,1175.04102314346
siRNA 8-3,3746183.16345244,2524511.52983122,2775151.02304267,1560.47171055097,1131.81735789814,974.057374848036
siRNA 8-4,3523521.28963876,2261978.76916322,2663508.52046449,1500.93289699527,1109.58190336481,1032.22185690617
siRNA 8-5,4966405.10626022,2045580.01066982,4124289.85631022,2743.77083956133,2275.5194029004,1794.31319806528
siRNA 8-6,4880111.63933192,3470596.323845,3656559.74993052,1910.86978259974,1689.55507628688,1596.97075165043
siRNA ø-1,9330842.15886294,4477858.30297706,4669702.1212101,1707.70684172053,772.267348274662,838.984068873109
siRNA ø-2,10427485.4624052,5721570.77098596,6382897.12663038,2530.93989480865,1291.97182436261,977.130337463738
siRNA ø-3,8111516.4925243,4974063.80980015,4996904.52737613,2455.71143474666,1206.50810982974,1037.13809499723
siRNA ø-4,8637328.10830018,6492719.60314306,6848509.53514499,1977.04109663625,971.150445100592,1001.57222848239
siRNA ø-5,5895567.63634843,3726954.16924711,4221556.30648258,2613.45619166567,1397.33729666901,1242.27607782046
siRNA ø-6,8602906.89238028,5475995.94347567,5146360.24183688,1947.28628088409,1087.9994532681,614.400587051105
mock-1,10070631.3525761,6345155.71681592,4491308.28578815,1278.39386558127,1143.947832434,867.167602077848
mock-2,11517058.5740026,11746669.1212065,9636824.6547171,1693.04626006384,1299.76520831837,1128.56445618691
mock-3,11140373.270942,9101073.66021031,9870910.01920648,1742.42543865439,1236.00779034712,1214.76407474072
mock-4,12664663.8424507,8729877.2381277,9558613.61471353,1504.25290472359,1116.44190247643,1179.00083387138
mock-5,7463369.1249154,7185349.37478124,7780529.6192512,1434.44547775231,1013.5655860715,957.319824048022
mock-6,8534586.79601801,6164753.45386542,6277666.90981897,1364.46466118009,1013.52740611346,937.588636318721
H2O-2,2.04940035806669,0,6.75208688919899,5.33126964012973,11.9038721278198,8.98105399598197
